Date,RR
1975-06-10,2.4
1975-06-11,0.0
1975-06-12,0.0
1975-06-13,0.0
1975-06-14,0.0
1975-06-15,0.0
1975-06-16,0.0
1975-06-17,0.0
1975-06-18,0.0
1975-06-19,0.0
1975-06-20,0.0
1975-06-21,4.6
1975-06-22,0.0
1975-06-23,0.0
1975-06-24,0.0
1975-06-25,0.0
1975-06-26,0.0
1975-06-27,0.0
1975-06-28,0.0
1975-06-29,0.0
1975-06-30,0.0
1975-07-01,0.0
1975-07-02,0.0
1975-07-03,5.2
1975-07-04,0.0
1975-07-05,0.0
1975-07-06,1.3
1975-07-07,0.0
1975-07-08,0.0
1975-07-09,0.0
1975-07-10,0.0
1975-07-11,0.0
1975-07-12,0.0
1975-07-13,0.0
1975-07-14,0.0
1975-07-15,0.0
1975-07-16,0.0
1975-07-17,0.0
1975-07-18,0.0
1975-07-19,0.0
1975-07-20,0.0
1975-07-21,0.0
1975-07-22,0.0
1975-07-23,0.0
1975-07-24,0.0
1975-07-25,0.0
1975-07-26,0.0
1975-07-27,0.0
1975-07-28,0.0
1975-07-29,0.0
1975-07-30,0.0
1975-07-31,0.0
1975-08-01,0.0
1975-08-02,0.0
1975-08-03,0.0
1975-08-04,0.0
1975-08-05,0.0
1975-08-06,0.0
1975-08-07,0.0
1975-08-08,0.0
1975-08-09,0.0
1975-08-10,0.0
1975-08-11,0.0
1975-08-12,0.0
1975-08-13,0.0
1975-08-14,0.0
1975-08-15,0.0
1975-08-16,0.0
1975-08-17,0.0
1975-08-18,0.0
1975-08-19,0.0
1975-08-20,0.0
1975-08-21,0.0
1975-08-22,0.0
1975-08-23,0.0
1975-08-24,0.0
1975-08-25,3.6
1975-08-26,0.0
1975-08-27,0.0
1975-08-28,0.0
1975-08-29,0.0
1975-08-30,0.0
1975-08-31,0.0
1975-09-01,0.0
1975-09-02,0.0
1975-09-03,0.0
1975-09-04,0.0
1975-09-05,0.0
1975-09-06,0.0
1975-09-07,0.0
1975-09-08,0.0
1975-09-09,0.0
1975-09-10,0.0
1975-09-11,0.0
1975-09-12,0.0
1975-09-13,14.8
1975-09-14,0.0
1975-09-15,0.0
1975-09-16,0.0
1975-09-17,0.0
1975-09-18,0.0
1975-09-19,0.0
1975-09-20,0.0
1975-09-21,0.0
1975-09-22,0.0
1975-09-23,0.0
1975-09-24,0.0
1975-09-25,0.0
1975-09-26,0.0
1975-09-27,0.0
1975-09-28,0.0
1975-09-29,0.0
1975-09-30,0.0
1975-10-01,0.0
1975-10-02,0.0
1975-10-03,0.0
1975-10-04,0.0
1975-10-05,25.0
1975-10-06,0.0
1975-10-07,0.0
1975-10-08,0.0
1975-10-09,0.0
1975-10-10,17.6
1975-10-11,0.0
1975-10-12,0.0
1975-10-13,0.0
1975-10-14,1.7
1975-10-15,0.0
1975-10-16,0.0
1975-10-17,19.5
1975-10-18,6.9
1975-10-19,8.5
1975-10-20,15.4
1975-10-21,2.8
1975-10-22,0.2
1975-10-23,0.0
1975-10-24,0.3
1975-10-25,1.3
1975-10-26,0.0
1975-10-27,0.0
1975-10-28,0.0
1975-10-29,0.0
1975-10-30,0.0
1975-10-31,0.0
1975-11-01,0.0
1975-11-02,0.0
1975-11-03,0.0
1975-11-04,0.0
1975-11-05,0.0
1975-11-06,0.0
1975-11-07,0.0
1975-11-08,1.6
1975-11-09,11.0
1975-11-10,1.0
1975-11-11,0.0
1975-11-12,0.0
1975-11-13,0.0
1975-11-14,2.7
1975-11-15,28.3
1975-11-16,7.6
1975-11-17,1.2
1975-11-18,0.0
1975-11-19,0.9
1975-11-20,1.2
1975-11-21,7.3
1975-11-22,3.0
1975-11-23,3.4
1975-11-24,18.0
1975-11-25,1.6
1975-11-26,0.0
1975-11-27,0.0
1975-11-28,20.0
1975-11-29,61.3
1975-11-30,0.0
1975-12-01,0.0
1975-12-02,11.2
1975-12-03,7.4
1975-12-04,0.0
1975-12-05,0.0
1975-12-06,0.0
1975-12-07,1.0
1975-12-08,0.0
1975-12-09,0.0
1975-12-10,0.0
1975-12-11,2.2
1975-12-12,2.5
1975-12-13,12.2
1975-12-14,0.3
1975-12-15,0.0
1975-12-16,0.0
1975-12-17,0.0
1975-12-18,13.2
1975-12-19,13.7
1975-12-20,7.6
1975-12-21,0.0
1975-12-22,0.0
1975-12-23,0.0
1975-12-24,0.0
1975-12-25,11.9
1975-12-26,0.3
1975-12-27,0.0
1975-12-28,0.0
1975-12-29,0.0
1975-12-30,0.0
1975-12-31,0.0
1976-01-01,0.0
1976-01-02,0.0
1976-01-03,0.5
1976-01-04,0.0
1976-01-05,0.0
1976-01-06,0.0
1976-01-07,21.2
1976-01-08,5.8
1976-01-09,0.0
1976-01-10,0.0
1976-01-11,0.0
1976-01-12,0.0
1976-01-13,0.0
1976-01-14,0.0
1976-01-15,14.8
1976-01-16,4.7
1976-01-17,0.2
1976-01-18,1.6
1976-01-19,1.5
1976-01-20,0.0
1976-01-21,0.0
1976-01-22,12.4
1976-01-23,0.0
1976-01-24,1.3
1976-01-25,0.0
1976-01-26,0.9
1976-01-27,0.0
1976-01-28,20.1
1976-01-29,7.1
1976-01-30,1.0
1976-01-31,1.3
1976-02-01,0.0
1976-02-02,23.9
1976-02-03,2.6
1976-02-04,0.0
1976-02-05,0.0
1976-02-06,2.6
1976-02-07,6.7
1976-02-08,0.0
1976-02-09,0.0
1976-02-10,0.0
1976-02-11,3.8
1976-02-12,14.9
1976-02-13,10.6
1976-02-14,2.6
1976-02-15,0.0
1976-02-16,0.0
1976-02-17,10.1
1976-02-18,0.2
1976-02-19,1.2
1976-02-20,5.6
1976-02-21,0.0
1976-02-22,0.0
1976-02-23,0.0
1976-02-24,0.0
1976-02-25,0.0
1976-02-26,0.0
1976-02-27,0.0
1976-02-28,0.0
1976-02-29,0.0
1976-03-01,0.0
1976-03-02,0.0
1976-03-03,0.0
1976-03-04,0.0
1976-03-05,0.0
1976-03-06,0.0
1976-03-07,0.0
1976-03-08,0.0
1976-03-09,0.0
1976-03-10,0.0
1976-03-11,0.0
1976-03-12,22.1
1976-03-13,7.8
1976-03-14,20.4
1976-03-15,15.4
1976-03-16,7.7
1976-03-17,2.7
1976-03-18,0.0
1976-03-19,0.0
1976-03-20,0.0
1976-03-21,0.0
1976-03-22,0.0
1976-03-23,0.0
1976-03-24,1.2
1976-03-25,13.6
1976-03-26,2.7
1976-03-27,0.0
1976-03-28,0.0
1976-03-29,0.0
1976-03-30,0.0
1976-03-31,0.0
1976-04-01,0.0
1976-04-02,0.0
1976-04-03,0.0
1976-04-04,0.0
1976-04-05,0.0
1976-04-06,0.0
1976-04-07,0.0
1976-04-08,0.0
1976-04-09,0.9
1976-04-10,0.0
1976-04-11,46.0
1976-04-12,8.3
1976-04-13,7.7
1976-04-14,2.5
1976-04-15,0.0
1976-04-16,0.0
1976-04-17,0.0
1976-04-18,0.0
1976-04-19,0.6
1976-04-20,0.4
1976-04-21,30.5
1976-04-22,8.2
1976-04-23,0.0
1976-04-24,0.0
1976-04-25,0.0
1976-04-26,0.0
1976-04-27,0.0
1976-04-28,0.0
1976-04-29,0.0
1976-04-30,0.0
1976-05-01,0.0
1976-05-02,0.0
1976-05-03,0.0
1976-05-04,0.0
1976-05-05,0.0
1976-05-06,1.5
1976-05-07,0.0
1976-05-08,0.0
1976-05-09,0.6
1976-05-10,1.6
1976-05-11,0.0
1976-05-12,6.6
1976-05-13,0.0
1976-05-14,0.0
1976-05-15,0.5
1976-05-16,1.1
1976-05-17,0.9
1976-05-18,0.0
1976-05-19,0.0
1976-05-20,0.0
1976-05-21,0.0
1976-05-22,0.0
1976-05-23,0.0
1976-05-24,5.1
1976-05-25,0.3
1976-05-26,0.0
1976-05-27,0.0
1976-05-28,0.0
1976-05-29,0.0
1976-05-30,0.0
1976-05-31,0.0
1976-06-01,0.0
1976-06-02,0.0
1976-06-03,0.0
1976-06-04,0.0
1976-06-05,0.0
1976-06-06,7.0
1976-06-07,1.0
1976-06-08,15.6
1976-06-09,0.0
1976-06-10,0.0
1976-06-11,0.0
1976-06-12,0.0
1976-06-13,0.0
1976-06-14,0.0
1976-06-15,0.0
1976-06-16,0.0
1976-06-17,0.0
1976-06-18,0.0
1976-06-19,0.0
1976-06-20,0.0
1976-06-21,0.0
1976-06-22,0.0
1976-06-23,0.0
1976-06-24,0.0
1976-06-25,0.0
1976-06-26,0.0
1976-06-27,0.0
1976-06-28,0.0
1976-06-29,0.0
1976-06-30,0.0
1976-07-01,0.0
1976-07-02,0.0
1976-07-03,0.0
1976-07-04,0.0
1976-07-05,0.0
1976-07-06,0.0
1976-07-07,0.0
1976-07-08,0.0
1976-07-09,0.0
1976-07-10,0.0
1976-07-11,0.0
1976-07-12,0.0
1976-07-13,0.0
1976-07-14,0.0
1976-07-15,0.0
1976-07-16,0.0
1976-07-17,0.0
1976-07-18,0.0
1976-07-19,0.0
1976-07-20,0.0
1976-07-21,0.0
1976-07-22,0.0
1976-07-23,0.0
1976-07-24,10.6
1976-07-25,0.5
1976-07-26,0.0
1976-07-27,0.0
1976-07-28,0.0
1976-07-29,0.0
1976-07-30,0.0
1976-07-31,0.0
1976-08-01,0.0
1976-08-02,0.0
1976-08-03,0.0
1976-08-04,0.0
1976-08-05,0.0
1976-08-06,0.0
1976-08-07,0.0
1976-08-08,0.0
1976-08-09,0.0
1976-08-10,0.0
1976-08-11,0.0
1976-08-12,0.0
1976-08-13,0.0
1976-08-14,0.0
1976-08-15,0.0
1976-08-16,0.0
1976-08-17,0.0
1976-08-18,0.0
1976-08-19,0.0
1976-08-20,1.2
1976-08-21,0.0
1976-08-22,0.3
1976-08-23,10.4
1976-08-24,0.8
1976-08-25,0.0
1976-08-26,0.0
1976-08-27,0.0
1976-08-28,0.0
1976-08-29,0.0
1976-08-30,0.0
1976-08-31,0.0
1976-09-01,0.0
1976-09-02,1.0
1976-09-03,0.0
1976-09-04,0.0
1976-09-05,0.0
1976-09-06,0.0
1976-09-07,0.0
1976-09-08,0.0
1976-09-09,0.0
1976-09-10,0.0
1976-09-11,0.0
1976-09-12,0.0
1976-09-13,0.0
1976-09-14,0.0
1976-09-15,0.0
1976-09-16,0.0
1976-09-17,0.0
1976-09-18,1.2
1976-09-19,0.0
1976-09-20,3.2
1976-09-21,0.0
1976-09-22,0.0
1976-09-23,0.0
1976-09-24,0.0
1976-09-25,0.0
1976-09-26,0.0
1976-09-27,0.0
1976-09-28,0.0
1976-09-29,0.0
1976-09-30,0.0
1976-10-01,0.0
1976-10-02,0.0
1976-10-03,0.0
1976-10-04,0.0
1976-10-05,0.0
1976-10-06,0.3
1976-10-07,11.3
1976-10-08,0.0
1976-10-09,0.0
1976-10-10,0.0
1976-10-11,0.0
1976-10-12,0.0
1976-10-13,3.8
1976-10-14,93.0
1976-10-15,0.0
1976-10-16,0.0
1976-10-17,29.4
1976-10-18,10.9
1976-10-19,3.6
1976-10-20,0.8
1976-10-21,1.0
1976-10-22,3.4
1976-10-23,0.0
1976-10-24,0.0
1976-10-25,0.0
1976-10-26,0.4
1976-10-27,12.2
1976-10-28,16.4
1976-10-29,0.0
1976-10-30,0.0
1976-10-31,7.5
1976-11-01,100.3
1976-11-02,12.9
1976-11-03,2.2
1976-11-04,3.6
1976-11-05,0.0
1976-11-06,57.3
1976-11-07,0.0
1976-11-08,0.0
1976-11-09,0.0
1976-11-10,0.0
1976-11-11,0.0
1976-11-12,2.0
1976-11-13,45.1
1976-11-14,0.5
1976-11-15,6.8
1976-11-16,0.0
1976-11-17,0.0
1976-11-18,5.9
1976-11-19,0.7
1976-11-20,20.0
1976-11-21,6.6
1976-11-22,8.1
1976-11-23,4.5
1976-11-24,1.9
1976-11-25,0.0
1976-11-26,7.4
1976-11-27,0.0
1976-11-28,0.0
1976-11-29,0.0
1976-11-30,0.0
1976-12-01,7.7
1976-12-02,2.6
1976-12-03,14.8
1976-12-04,3.2
1976-12-05,7.4
1976-12-06,0.6
1976-12-07,0.2
1976-12-08,0.4
1976-12-09,0.0
1976-12-10,0.0
1976-12-11,0.0
1976-12-12,2.6
1976-12-13,5.0
1976-12-14,0.4
1976-12-15,2.0
1976-12-16,0.0
1976-12-17,1.9
1976-12-18,3.4
1976-12-19,0.0
1976-12-20,0.0
1976-12-21,1.1
1976-12-22,0.0
1976-12-23,7.5
1976-12-24,2.3
1976-12-25,1.7
1976-12-26,0.0
1976-12-27,0.4
1976-12-28,0.0
1976-12-29,1.0
1976-12-30,4.6
1976-12-31,0.2
1977-01-01,0.0
1977-01-02,0.7
1977-01-03,0.0
1977-01-04,0.5
1977-01-05,0.0
1977-01-06,0.0
1977-01-07,0.0
1977-01-08,0.0
1977-01-09,1.7
1977-01-10,1.6
1977-01-11,9.9
1977-01-12,23.2
1977-01-13,8.1
1977-01-14,0.4
1977-01-15,2.4
1977-01-16,8.5
1977-01-17,8.9
1977-01-18,5.7
1977-01-19,0.0
1977-01-20,0.0
1977-01-21,0.0
1977-01-22,0.0
1977-01-23,4.0
1977-01-24,12.8
1977-01-25,0.2
1977-01-26,0.0
1977-01-27,0.0
1977-01-28,0.0
1977-01-29,0.0
1977-01-30,0.0
1977-01-31,0.0
1977-02-01,0.0
1977-02-02,0.0
1977-02-03,7.2
1977-02-04,3.7
1977-02-05,0.0
1977-02-06,0.0
1977-02-07,0.0
1977-02-08,0.0
1977-02-09,0.0
1977-02-10,0.2
1977-02-11,0.0
1977-02-12,0.0
1977-02-13,0.0
1977-02-14,18.4
1977-02-15,0.9
1977-02-16,36.4
1977-02-17,2.3
1977-02-18,0.0
1977-02-19,0.0
1977-02-20,0.0
1977-02-21,0.0
1977-02-22,0.0
1977-02-23,0.0
1977-02-24,0.0
1977-02-25,0.0
1977-02-26,0.0
1977-02-27,0.0
1977-02-28,1.7
1977-03-01,0.2
1977-03-02,0.0
1977-03-03,0.0
1977-03-04,0.0
1977-03-05,0.0
1977-03-06,0.0
1977-03-07,0.0
1977-03-08,0.0
1977-03-09,0.0
1977-03-10,0.0
1977-03-11,0.0
1977-03-12,0.0
1977-03-13,2.2
1977-03-14,0.8
1977-03-15,0.0
1977-03-16,0.0
1977-03-17,0.0
1977-03-18,0.0
1977-03-19,0.0
1977-03-20,0.0
1977-03-21,0.0
1977-03-22,0.0
1977-03-23,0.0
1977-03-24,0.0
1977-03-25,0.0
1977-03-26,0.0
1977-03-27,0.0
1977-03-28,0.0
1977-03-29,0.0
1977-03-30,0.0
1977-03-31,0.0
1977-04-01,0.0
1977-04-02,1.6
1977-04-03,2.4
1977-04-04,0.0
1977-04-05,0.0
1977-04-06,0.0
1977-04-07,0.0
1977-04-08,0.0
1977-04-09,0.0
1977-04-10,13.5
1977-04-11,1.3
1977-04-12,1.3
1977-04-13,3.8
1977-04-14,1.8
1977-04-15,2.0
1977-04-16,1.4
1977-04-17,0.0
1977-04-18,0.0
1977-04-19,0.0
1977-04-20,5.7
1977-04-21,4.9
1977-04-22,0.0
1977-04-23,0.0
1977-04-24,0.0
1977-04-25,0.0
1977-04-26,0.0
1977-04-27,0.0
1977-04-28,0.0
1977-04-29,0.0
1977-04-30,0.0
1977-05-01,0.0
1977-05-02,0.0
1977-05-03,0.0
1977-05-04,0.0
1977-05-05,0.0
1977-05-06,0.0
1977-05-07,0.0
1977-05-08,0.0
1977-05-09,0.0
1977-05-10,0.0
1977-05-11,0.0
1977-05-12,0.0
1977-05-13,0.0
1977-05-14,0.0
1977-05-15,2.8
1977-05-16,0.0
1977-05-17,0.0
1977-05-18,0.0
1977-05-19,0.0
1977-05-20,0.0
1977-05-21,0.0
1977-05-22,0.0
1977-05-23,0.0
1977-05-24,0.0
1977-05-25,0.0
1977-05-26,0.0
1977-05-27,0.0
1977-05-28,0.0
1977-05-29,0.0
1977-05-30,0.0
1977-05-31,0.0
1977-06-01,0.0
1977-06-02,0.0
1977-06-03,0.0
1977-06-04,0.0
1977-06-05,0.0
1977-06-06,0.0
1977-06-07,0.0
1977-06-08,0.0
1977-06-09,0.0
1977-06-10,0.0
1977-06-11,0.0
1977-06-12,0.0
1977-06-13,0.0
1977-06-14,0.0
1977-06-15,0.0
1977-06-16,0.0
1977-06-17,0.0
1977-06-18,0.0
1977-06-19,0.0
1977-06-20,0.0
1977-06-21,0.0
1977-06-22,0.0
1977-06-23,0.0
1977-06-24,0.0
1977-06-25,0.0
1977-06-26,0.0
1977-06-27,0.0
1977-06-28,0.0
1977-06-29,0.0
1977-06-30,0.0
1977-07-01,0.0
1977-07-02,0.0
1977-07-03,0.0
1977-07-04,0.0
1977-07-05,0.0
1977-07-06,0.0
1977-07-07,0.0
1977-07-08,0.0
1977-07-09,0.0
1977-07-10,0.0
1977-07-11,0.0
1977-07-12,0.0
1977-07-13,0.0
1977-07-14,0.0
1977-07-15,0.0
1977-07-16,0.0
1977-07-17,0.0
1977-07-18,0.0
1977-07-19,0.0
1977-07-20,0.0
1977-07-21,0.0
1977-07-22,0.0
1977-07-23,0.0
1977-07-24,0.0
1977-07-25,0.0
1977-07-26,0.0
1977-07-27,0.0
1977-07-28,0.0
1977-07-29,0.0
1977-07-30,0.0
1977-07-31,0.0
1977-08-01,0.0
1977-08-02,0.0
1977-08-03,0.0
1977-08-04,0.0
1977-08-05,0.0
1977-08-06,0.0
1977-08-07,0.0
1977-08-08,0.0
1977-08-09,0.0
1977-08-10,0.0
1977-08-11,0.0
1977-08-12,0.0
1977-08-13,0.0
1977-08-14,0.0
1977-08-15,0.0
1977-08-16,0.0
1977-08-17,0.0
1977-08-18,0.0
1977-08-19,0.0
1977-08-20,0.0
1977-08-21,0.0
1977-08-22,0.0
1977-08-23,0.0
1977-08-24,20.1
1977-08-25,0.2
1977-08-26,0.0
1977-08-27,0.0
1977-08-28,0.0
1977-08-29,0.0
1977-08-30,0.0
1977-08-31,0.0
1977-09-01,0.0
1977-09-02,0.0
1977-09-03,18.9
1977-09-04,0.0
1977-09-05,0.0
1977-09-06,0.0
1977-09-07,0.0
1977-09-08,0.0
1977-09-09,0.0
1977-09-10,0.0
1977-09-11,0.0
1977-09-12,0.0
1977-09-13,0.0
1977-09-14,0.0
1977-09-15,0.0
1977-09-16,0.0
1977-09-17,0.0
1977-09-18,0.0
1977-09-19,0.0
1977-09-20,0.0
1977-09-21,0.0
1977-09-22,0.0
1977-09-23,3.0
1977-09-24,2.3
1977-09-25,1.0
1977-09-26,9.2
1977-09-27,0.0
1977-09-28,0.0
1977-09-29,0.0
1977-09-30,0.0
1977-10-01,0.0
1977-10-02,0.0
1977-10-03,0.0
1977-10-04,0.0
1977-10-05,0.0
1977-10-06,0.0
1977-10-07,0.0
1977-10-08,0.0
1977-10-09,0.0
1977-10-10,0.3
1977-10-11,0.0
1977-10-12,1.1
1977-10-13,10.7
1977-10-14,0.0
1977-10-15,0.0
1977-10-16,0.0
1977-10-17,0.0
1977-10-18,0.0
1977-10-19,0.0
1977-10-20,0.0
1977-10-21,0.0
1977-10-22,0.0
1977-10-23,0.0
1977-10-24,0.0
1977-10-25,0.0
1977-10-26,0.0
1977-10-27,0.0
1977-10-28,0.0
1977-10-29,0.0
1977-10-30,0.0
1977-10-31,0.0
1977-11-01,0.0
1977-11-02,31.9
1977-11-03,0.5
1977-11-04,0.0
1977-11-05,0.0
1977-11-06,0.0
1977-11-07,0.0
1977-11-08,0.0
1977-11-09,0.0
1977-11-10,0.0
1977-11-11,0.0
1977-11-12,0.0
1977-11-13,0.0
1977-11-14,15.3
1977-11-15,19.0
1977-11-16,0.0
1977-11-17,7.3
1977-11-18,0.2
1977-11-19,8.2
1977-11-20,6.5
1977-11-21,8.0
1977-11-22,0.0
1977-11-23,0.0
1977-11-24,0.0
1977-11-25,0.0
1977-11-26,14.6
1977-11-27,0.8
1977-11-28,0.0
1977-11-29,23.7
1977-11-30,0.0
1977-12-01,0.1
1977-12-02,6.0
1977-12-03,23.0
1977-12-04,0.0
1977-12-05,0.4
1977-12-06,0.0
1977-12-07,8.8
1977-12-08,0.0
1977-12-09,0.3
1977-12-10,21.8
1977-12-11,1.8
1977-12-12,0.0
1977-12-13,0.0
1977-12-14,0.0
1977-12-15,0.0
1977-12-16,2.4
1977-12-17,0.0
1977-12-18,0.0
1977-12-19,0.0
1977-12-20,0.0
1977-12-21,0.0
1977-12-22,0.0
1977-12-23,0.0
1977-12-24,0.0
1977-12-25,0.0
1977-12-26,7.4
1977-12-27,0.0
1977-12-28,0.0
1977-12-29,0.2
1977-12-30,0.0
1977-12-31,0.0
1978-01-01,4.5
1978-01-02,0.0
1978-01-03,0.0
1978-01-04,0.0
1978-01-05,14.9
1978-01-06,22.8
1978-01-07,0.0
1978-01-08,0.0
1978-01-09,0.0
1978-01-10,0.0
1978-01-11,0.0
1978-01-12,2.4
1978-01-13,4.4
1978-01-14,0.0
1978-01-15,3.1
1978-01-16,0.4
1978-01-17,10.9
1978-01-18,4.2
1978-01-19,2.8
1978-01-20,0.8
1978-01-21,34.2
1978-01-22,4.4
1978-01-23,9.3
1978-01-24,10.1
1978-01-25,8.0
1978-01-26,0.0
1978-01-27,2.7
1978-01-28,0.0
1978-01-29,0.0
1978-01-30,5.5
1978-01-31,2.5
1978-02-01,8.3
1978-02-02,4.1
1978-02-03,17.4
1978-02-04,1.4
1978-02-05,4.0
1978-02-06,0.0
1978-02-07,2.6
1978-02-08,17.6
1978-02-09,8.1
1978-02-10,0.0
1978-02-11,0.0
1978-02-12,0.0
1978-02-13,0.8
1978-02-14,25.5
1978-02-15,7.5
1978-02-16,13.5
1978-02-17,0.0
1978-02-18,0.5
1978-02-19,0.0
1978-02-20,0.0
1978-02-21,0.0
1978-02-22,8.0
1978-02-23,0.0
1978-02-24,0.0
1978-02-25,0.0
1978-02-26,0.0
1978-02-27,1.2
1978-02-28,0.0
1978-03-01,0.0
1978-03-02,0.0
1978-03-03,0.0
1978-03-04,0.0
1978-03-05,0.0
1978-03-06,0.0
1978-03-07,0.0
1978-03-08,0.0
1978-03-09,3.0
1978-03-10,0.0
1978-03-11,1.3
1978-03-12,0.0
1978-03-13,0.0
1978-03-14,0.0
1978-03-15,0.0
1978-03-16,3.2
1978-03-17,0.0
1978-03-18,0.0
1978-03-19,1.6
1978-03-20,1.9
1978-03-21,0.0
1978-03-22,8.2
1978-03-23,3.1
1978-03-24,0.4
1978-03-25,20.8
1978-03-26,0.4
1978-03-27,21.8
1978-03-28,0.4
1978-03-29,0.0
1978-03-30,0.0
1978-03-31,0.0
1978-04-01,9.4
1978-04-02,18.2
1978-04-03,1.9
1978-04-04,7.3
1978-04-05,0.0
1978-04-06,0.0
1978-04-07,0.0
1978-04-08,0.0
1978-04-09,14.6
1978-04-10,2.5
1978-04-11,0.0
1978-04-12,0.0
1978-04-13,6.8
1978-04-14,1.7
1978-04-15,0.0
1978-04-16,0.9
1978-04-17,0.3
1978-04-18,7.3
1978-04-19,4.1
1978-04-20,2.8
1978-04-21,7.6
1978-04-22,0.0
1978-04-23,0.0
1978-04-24,0.0
1978-04-25,0.0
1978-04-26,7.0
1978-04-27,0.0
1978-04-28,0.0
1978-04-29,0.0
1978-04-30,0.0
1978-05-01,0.0
1978-05-02,0.0
1978-05-03,0.0
1978-05-04,0.0
1978-05-05,0.0
1978-05-06,0.0
1978-05-07,0.4
1978-05-08,0.0
1978-05-09,6.7
1978-05-10,0.0
1978-05-11,0.0
1978-05-12,0.2
1978-05-13,0.0
1978-05-14,0.9
1978-05-15,3.0
1978-05-16,0.2
1978-05-17,0.0
1978-05-18,0.0
1978-05-19,0.0
1978-05-20,0.0
1978-05-21,0.0
1978-05-22,0.0
1978-05-23,0.0
1978-05-24,0.0
1978-05-25,0.0
1978-05-26,0.0
1978-05-27,0.0
1978-05-28,0.0
1978-05-29,0.0
1978-05-30,0.0
1978-05-31,0.0
1978-06-01,0.0
1978-06-02,0.0
1978-06-03,1.0
1978-06-04,0.0
1978-06-05,0.0
1978-06-06,0.0
1978-06-07,0.0
1978-06-08,0.0
1978-06-09,0.0
1978-06-10,0.0
1978-06-11,0.0
1978-06-12,0.0
1978-06-13,0.0
1978-06-14,0.0
1978-06-15,0.0
1978-06-16,0.0
1978-06-17,0.0
1978-06-18,0.0
1978-06-19,0.0
1978-06-20,0.0
1978-06-21,0.0
1978-06-22,0.0
1978-06-23,0.0
1978-06-24,0.0
1978-06-25,0.0
1978-06-26,0.0
1978-06-27,0.0
1978-06-28,0.0
1978-06-29,0.0
1978-06-30,0.0
1978-07-01,0.0
1978-07-02,0.0
1978-07-03,0.0
1978-07-04,0.0
1978-07-05,0.0
1978-07-06,0.0
1978-07-07,0.0
1978-07-08,0.0
1978-07-09,0.0
1978-07-10,0.0
1978-07-11,0.0
1978-07-12,0.0
1978-07-13,0.0
1978-07-14,0.0
1978-07-15,0.0
1978-07-16,0.0
1978-07-17,0.0
1978-07-18,0.0
1978-07-19,0.0
1978-07-20,0.0
1978-07-21,0.0
1978-07-22,0.0
1978-07-23,0.0
1978-07-24,0.0
1978-07-25,0.0
1978-07-26,0.0
1978-07-27,0.0
1978-07-28,0.0
1978-07-29,0.0
1978-07-30,0.0
1978-07-31,0.0
1978-08-01,0.0
1978-08-02,0.0
1978-08-03,0.0
1978-08-04,0.0
1978-08-05,0.0
1978-08-06,0.0
1978-08-07,0.0
1978-08-08,0.0
1978-08-09,0.0
1978-08-10,0.0
1978-08-11,0.0
1978-08-12,0.0
1978-08-13,0.0
1978-08-14,0.0
1978-08-15,0.0
1978-08-16,0.0
1978-08-17,0.0
1978-08-18,0.0
1978-08-19,0.0
1978-08-20,0.0
1978-08-21,0.0
1978-08-22,0.0
1978-08-23,0.0
1978-08-24,0.0
1978-08-25,0.0
1978-08-26,0.0
1978-08-27,0.0
1978-08-28,0.0
1978-08-29,0.0
1978-08-30,0.0
1978-08-31,0.0
1978-09-01,0.0
1978-09-02,0.0
1978-09-03,0.0
1978-09-04,0.0
1978-09-05,0.3
1978-09-06,0.0
1978-09-07,1.7
1978-09-08,16.7
1978-09-09,0.0
1978-09-10,0.0
1978-09-11,0.0
1978-09-12,0.0
1978-09-13,2.7
1978-09-14,1.8
1978-09-15,0.0
1978-09-16,0.0
1978-09-17,0.0
1978-09-18,0.0
1978-09-19,0.0
1978-09-20,0.0
1978-09-21,6.9
1978-09-22,0.0
1978-09-23,0.0
1978-09-24,0.0
1978-09-25,0.0
1978-09-26,0.0
1978-09-27,0.0
1978-09-28,0.0
1978-09-29,1.2
1978-09-30,0.0
1978-10-01,0.0
1978-10-02,0.0
1978-10-03,0.0
1978-10-04,0.0
1978-10-05,0.0
1978-10-06,0.0
1978-10-07,3.2
1978-10-08,0.0
1978-10-09,0.0
1978-10-10,0.0
1978-10-11,0.0
1978-10-12,0.0
1978-10-13,0.0
1978-10-14,0.0
1978-10-15,0.0
