Date,RR
2002-07-21,0.0
2002-07-22,0.0
2002-07-23,0.0
2002-07-24,0.0
2002-07-25,0.0
2002-07-26,0.0
2002-07-27,30.5
2002-07-28,39.6
2002-07-29,10.8
2002-07-30,9.8
2002-07-31,1.5
2002-08-01,0.0
2002-08-02,0.0
2002-08-03,0.0
2002-08-04,0.0
2002-08-05,0.0
2002-08-06,0.0
2002-08-07,0.0
2002-08-08,0.0
2002-08-09,0.0
2002-08-10,0.0
2002-08-11,0.0
2002-08-12,1.5
2002-08-13,0.0
2002-08-14,0.0
2002-08-15,0.0
2002-08-16,0.0
2002-08-17,1.1
2002-08-18,0.0
2002-08-19,0.0
2002-08-20,0.0
2002-08-21,0.0
2002-08-22,0.0
2002-08-23,0.0
2002-08-24,0.0
2002-08-25,0.0
2002-08-26,0.0
2002-08-27,0.0
2002-08-28,0.0
2002-08-29,6.2
2002-08-30,23.3
2002-08-31,0.0
2002-09-01,4.0
2002-09-02,4.9
2002-09-03,0.0
2002-09-04,0.0
2002-09-05,0.5
2002-09-06,0.0
2002-09-07,10.0
2002-09-08,20.7
2002-09-09,0.0
2002-09-10,0.0
2002-09-11,0.0
2002-09-12,0.0
2002-09-13,18.2
2002-09-14,7.8
2002-09-15,2.5
2002-09-16,0.0
2002-09-17,0.0
2002-09-18,0.0
2002-09-19,0.0
2002-09-20,0.0
2002-09-21,0.0
2002-09-22,0.0
2002-09-23,0.0
2002-09-24,0.0
2002-09-25,2.3
2002-09-26,0.0
2002-09-27,0.7
2002-09-28,56.6
2002-09-29,3.5
2002-09-30,0.0
2002-10-01,0.4
2002-10-02,0.0
2002-10-03,0.0
2002-10-04,0.0
2002-10-05,0.0
2002-10-06,47.1
2002-10-07,18.3
2002-10-08,1.2
2002-10-09,0.0
2002-10-10,0.0
2002-10-11,1.9
2002-10-12,10.4
2002-10-13,26.3
2002-10-14,1.0
2002-10-15,0.0
2002-10-16,0.0
2002-10-17,0.0
2002-10-18,0.0
2002-10-19,0.0
2002-10-20,0.0
2002-10-21,0.0
2002-10-22,0.0
2002-10-23,0.0
2002-10-24,0.0
2002-10-25,0.0
2002-10-26,0.0
2002-10-27,0.0
2002-10-28,0.0
2002-10-29,0.0
2002-10-30,0.0
2002-10-31,0.0
2002-11-01,0.0
2002-11-02,0.0
2002-11-03,0.0
2002-11-04,20.4
2002-11-05,8.2
2002-11-06,10.8
2002-11-07,13.7
2002-11-08,0.0
2002-11-09,3.8
2002-11-10,2.4
2002-11-11,0.5
2002-11-12,0.0
2002-11-13,0.3
2002-11-14,0.0
2002-11-15,0.0
2002-11-16,0.0
2002-11-17,0.0
2002-11-18,0.0
2002-11-19,3.6
2002-11-20,0.0
2002-11-21,15.5
2002-11-22,11.7
2002-11-23,0.0
2002-11-24,0.0
2002-11-25,0.0
2002-11-26,0.0
2002-11-27,1.7
2002-11-28,0.3
2002-11-29,0.0
2002-11-30,5.3
2002-12-01,6.5
2002-12-02,24.4
2002-12-03,4.9
2002-12-04,40.8
2002-12-05,13.3
2002-12-06,12.1
2002-12-07,37.4
2002-12-08,27.8
2002-12-09,0.1
2002-12-10,5.6
2002-12-11,6.2
2002-12-12,0.0
2002-12-13,57.1
2002-12-14,10.9
2002-12-15,2.3
2002-12-16,62.6
2002-12-17,0.0
2002-12-18,1.0
2002-12-19,2.7
2002-12-20,0.0
2002-12-21,0.0
2002-12-22,0.0
2002-12-23,28.2
2002-12-24,7.8
2002-12-25,10.7
2002-12-26,3.7
2002-12-27,0.0
2002-12-28,5.7
2002-12-29,27.7
2002-12-30,3.4
2002-12-31,0.7
2003-01-01,3.8
2003-01-02,0.8
2003-01-03,0.0
2003-01-04,0.0
2003-01-05,0.0
2003-01-06,0.2
2003-01-07,0.2
2003-01-08,0.0
2003-01-09,0.5
2003-01-10,0.0
2003-01-11,9.4
2003-01-12,7.6
2003-01-13,0.0
2003-01-14,0.3
2003-01-15,0.0
2003-01-16,0.0
2003-01-17,0.0
2003-01-18,3.4
2003-01-19,21.3
2003-01-20,1.3
2003-01-21,0.0
2003-01-22,31.0
2003-01-23,0.7
2003-01-24,48.8
2003-01-25,29.3
2003-01-26,1.6
2003-01-27,0.0
2003-01-28,0.0
2003-01-29,0.2
2003-01-30,4.9
2003-01-31,13.9
2003-02-01,24.9
2003-02-02,24.8
2003-02-03,4.4
2003-02-04,2.7
2003-02-05,5.7
2003-02-06,9.0
2003-02-07,0.0
2003-02-08,0.0
2003-02-09,0.0
2003-02-10,24.0
2003-02-11,19.8
2003-02-12,0.0
2003-02-13,0.0
2003-02-14,0.0
2003-02-15,1.2
2003-02-16,7.8
2003-02-17,25.8
2003-02-18,5.5
2003-02-19,0.6
2003-02-20,1.4
2003-02-21,0.0
2003-02-22,0.0
2003-02-23,0.0
2003-02-24,0.0
2003-02-25,0.0
2003-02-26,0.0
2003-02-27,0.0
2003-02-28,0.0
2003-03-01,0.0
2003-03-02,0.0
2003-03-03,4.1
2003-03-04,8.9
2003-03-05,0.0
2003-03-06,0.0
2003-03-07,0.0
2003-03-08,5.9
2003-03-09,0.0
2003-03-10,1.7
2003-03-11,0.0
2003-03-12,0.0
2003-03-13,0.0
2003-03-14,0.0
2003-03-15,0.0
2003-03-16,0.0
2003-03-17,3.1
2003-03-18,0.0
2003-03-19,0.3
2003-03-20,0.0
2003-03-21,0.0
2003-03-22,0.0
2003-03-23,0.1
2003-03-24,0.0
2003-03-25,0.0
2003-03-26,0.0
2003-03-27,0.0
2003-03-28,0.0
2003-03-29,0.0
2003-03-30,0.0
2003-03-31,0.0
2003-04-01,0.0
2003-04-02,0.0
2003-04-03,2.2
2003-04-04,2.3
2003-04-05,27.5
2003-04-06,0.0
2003-04-07,2.5
2003-04-08,0.0
2003-04-09,0.0
2003-04-10,0.0
2003-04-11,0.0
2003-04-12,0.0
2003-04-13,0.0
2003-04-14,0.0
2003-04-15,0.0
2003-04-16,0.0
2003-04-17,3.4
2003-04-18,5.9
2003-04-19,0.0
2003-04-20,0.0
2003-04-21,3.9
2003-04-22,0.2
2003-04-23,0.0
2003-04-24,0.0
2003-04-25,0.0
2003-04-26,0.0
2003-04-27,0.0
2003-04-28,0.0
2003-04-29,0.0
2003-04-30,0.0
2003-05-01,0.0
2003-05-02,0.0
2003-05-03,0.0
2003-05-04,0.0
2003-05-05,0.0
2003-05-06,0.0
2003-05-07,0.0
2003-05-08,0.0
2003-05-09,0.0
2003-05-10,0.0
2003-05-11,0.0
2003-05-12,0.0
2003-05-13,0.0
2003-05-14,0.0
2003-05-15,0.0
2003-05-16,0.0
2003-05-17,0.0
2003-05-18,0.0
2003-05-19,0.0
2003-05-20,0.0
2003-05-21,0.0
2003-05-22,0.0
2003-05-23,0.5
2003-05-24,1.5
2003-05-25,13.4
2003-05-26,0.0
2003-05-27,0.0
2003-05-28,0.0
2003-05-29,0.0
2003-05-30,0.0
2003-05-31,0.0
2003-06-01,0.0
2003-06-02,0.0
2003-06-03,0.0
2003-06-04,0.0
2003-06-05,0.0
2003-06-06,0.0
2003-06-07,0.0
2003-06-08,0.0
2003-06-09,0.0
2003-06-10,0.0
2003-06-11,0.0
2003-06-12,0.0
2003-06-13,0.0
2003-06-14,0.0
2003-06-15,0.0
2003-06-16,0.0
2003-06-17,0.0
2003-06-18,0.0
2003-06-19,0.8
2003-06-20,0.0
2003-06-21,0.0
2003-06-22,0.0
2003-06-23,0.0
2003-06-24,0.0
2003-06-25,0.0
2003-06-26,0.0
2003-06-27,0.0
2003-06-28,0.0
2003-06-29,0.0
2003-06-30,0.0
2003-07-01,0.0
2003-07-02,0.0
2003-07-03,0.0
2003-07-04,0.0
2003-07-05,0.0
2003-07-06,0.0
2003-07-07,0.0
2003-07-08,0.0
2003-07-09,0.0
2003-07-10,0.0
2003-07-11,0.0
2003-07-12,0.0
2003-07-13,0.0
2003-07-14,0.0
2003-07-15,0.0
2003-07-16,0.0
2003-07-17,0.0
2003-07-18,0.0
2003-07-19,0.0
2003-07-20,0.0
2003-07-21,0.0
2003-07-22,0.0
2003-07-23,0.0
2003-07-24,0.0
2003-07-25,0.0
2003-07-26,0.0
2003-07-27,0.0
2003-07-28,0.0
2003-07-29,0.0
2003-07-30,0.0
2003-07-31,0.0
2003-08-01,4.0
2003-08-02,14.4
2003-08-03,1.1
2003-08-04,0.0
2003-08-05,0.0
2003-08-06,0.0
2003-08-07,0.0
2003-08-08,0.0
2003-08-09,0.0
2003-08-10,0.0
2003-08-11,0.0
2003-08-12,0.0
2003-08-13,0.0
2003-08-14,0.0
2003-08-15,0.0
2003-08-16,0.0
2003-08-17,0.0
2003-08-18,0.0
2003-08-19,0.0
2003-08-20,0.0
2003-08-21,0.0
2003-08-22,0.0
2003-08-23,0.0
2003-08-24,0.0
2003-08-25,0.0
2003-08-26,0.0
2003-08-27,7.3
2003-08-28,0.0
2003-08-29,0.0
2003-08-30,0.0
2003-08-31,0.0
2003-09-01,0.0
2003-09-02,0.0
2003-09-03,0.0
2003-09-04,0.0
2003-09-05,0.0
2003-09-06,0.0
2003-09-07,0.0
2003-09-08,22.3
2003-09-09,53.8
2003-09-10,22.3
2003-09-11,6.5
2003-09-12,5.1
2003-09-13,0.0
2003-09-14,0.0
2003-09-15,0.0
2003-09-16,0.0
2003-09-17,0.0
2003-09-18,0.0
2003-09-19,0.0
2003-09-20,0.0
2003-09-21,0.0
2003-09-22,0.0
2003-09-23,0.0
2003-09-24,0.0
2003-09-25,0.0
2003-09-26,0.0
2003-09-27,0.0
2003-09-28,0.0
2003-09-29,11.2
2003-09-30,3.5
2003-10-01,0.0
2003-10-02,0.0
2003-10-03,0.0
2003-10-04,0.0
2003-10-05,0.0
2003-10-06,0.0
2003-10-07,0.0
2003-10-08,1.7
2003-10-09,8.9
2003-10-10,0.0
2003-10-11,0.0
2003-10-12,0.0
2003-10-13,0.0
2003-10-14,0.0
2003-10-15,0.0
2003-10-16,22.7
2003-10-17,15.5
2003-10-18,0.5
2003-10-19,3.7
2003-10-20,0.0
2003-10-21,0.0
2003-10-22,0.0
2003-10-23,0.0
2003-10-24,3.3
2003-10-25,0.0
2003-10-26,0.0
2003-10-27,3.9
2003-10-28,0.0
2003-10-29,8.4
2003-10-30,39.7
2003-10-31,0.3
2003-11-01,0.0
2003-11-02,0.0
2003-11-03,7.3
2003-11-04,0.1
2003-11-05,0.0
2003-11-06,0.0
2003-11-07,8.5
2003-11-08,7.8
2003-11-09,0.0
2003-11-10,0.0
2003-11-11,0.5
2003-11-12,6.1
2003-11-13,14.0
2003-11-14,14.1
2003-11-15,0.0
2003-11-16,0.0
2003-11-17,0.4
2003-11-18,0.0
2003-11-19,0.0
2003-11-20,0.0
2003-11-21,0.0
2003-11-22,0.0
2003-11-23,0.0
2003-11-24,0.0
2003-11-25,0.0
2003-11-26,0.0
2003-11-27,23.6
2003-11-28,15.2
2003-11-29,8.2
2003-11-30,8.5
2003-12-01,0.0
2003-12-02,0.0
2003-12-03,0.0
2003-12-04,0.0
2003-12-05,0.0
2003-12-06,1.9
2003-12-07,6.1
2003-12-08,17.2
2003-12-09,35.1
2003-12-10,12.5
2003-12-11,0.1
2003-12-12,2.6
2003-12-13,0.0
2003-12-14,0.0
2003-12-15,7.9
2003-12-16,2.7
2003-12-17,0.0
2003-12-18,0.0
2003-12-19,0.0
2003-12-20,0.0
2003-12-21,6.5
2003-12-22,0.8
2003-12-23,33.5
2003-12-24,7.2
2003-12-25,3.7
2003-12-26,0.0
2003-12-27,0.0
2003-12-28,2.0
2003-12-29,22.8
2003-12-30,95.6
2003-12-31,11.2
2004-01-01,38.4
2004-01-02,0.0
2004-01-03,43.7
2004-01-04,9.5
2004-01-05,0.0
2004-01-06,1.0
2004-01-07,0.0
2004-01-08,0.4
2004-01-09,0.0
2004-01-10,34.4
2004-01-11,0.0
2004-01-12,0.0
2004-01-13,0.1
2004-01-14,0.0
2004-01-15,0.0
2004-01-16,0.0
2004-01-17,0.0
2004-01-18,2.1
2004-01-19,0.0
2004-01-20,0.0
2004-01-21,0.4
2004-01-22,8.5
2004-01-23,2.2
2004-01-24,0.0
2004-01-25,0.2
2004-01-26,2.0
2004-01-27,8.5
2004-01-28,0.5
2004-01-29,13.8
2004-01-30,10.7
2004-01-31,2.5
2004-02-01,0.0
2004-02-02,0.0
2004-02-03,0.0
2004-02-04,0.0
2004-02-05,0.0
2004-02-06,0.0
2004-02-07,0.0
2004-02-08,0.0
2004-02-09,0.0
2004-02-10,0.0
2004-02-11,0.0
2004-02-12,10.4
2004-02-13,0.0
2004-02-14,0.0
2004-02-15,0.3
2004-02-16,1.0
2004-02-17,0.0
2004-02-18,0.0
2004-02-19,0.0
2004-02-20,1.9
2004-02-21,0.0
2004-02-22,3.1
2004-02-23,8.2
2004-02-24,0.0
2004-02-25,0.0
2004-02-26,1.8
2004-02-27,0.0
2004-02-28,0.0
2004-02-29,0.0
2004-03-01,2.4
2004-03-02,2.2
2004-03-03,4.5
2004-03-04,3.6
2004-03-05,0.0
2004-03-06,0.0
2004-03-07,0.0
2004-03-08,4.2
2004-03-09,3.1
2004-03-10,4.4
2004-03-11,0.0
2004-03-12,19.2
2004-03-13,0.0
2004-03-14,0.0
2004-03-15,0.0
2004-03-16,0.0
2004-03-17,0.0
2004-03-18,0.0
2004-03-19,0.0
2004-03-20,0.0
2004-03-21,0.0
2004-03-22,0.0
2004-03-23,0.0
2004-03-24,8.9
2004-03-25,0.0
2004-03-26,0.1
2004-03-27,0.0
2004-03-28,0.9
2004-03-29,0.0
2004-03-30,8.5
2004-03-31,0.0
2004-04-01,27.9
2004-04-02,2.0
2004-04-03,0.0
2004-04-04,0.0
2004-04-05,0.0
2004-04-06,0.0
2004-04-07,0.0
2004-04-08,0.0
2004-04-09,0.0
2004-04-10,0.0
2004-04-11,0.0
2004-04-12,0.0
2004-04-13,0.0
2004-04-14,0.0
2004-04-15,0.0
2004-04-16,0.0
2004-04-17,0.0
2004-04-18,3.8
2004-04-19,0.5
2004-04-20,0.1
2004-04-21,6.9
2004-04-22,0.0
2004-04-23,0.0
2004-04-24,0.0
2004-04-25,1.6
2004-04-26,2.1
2004-04-27,0.0
2004-04-28,0.0
2004-04-29,0.0
2004-04-30,0.0
2004-05-01,0.0
2004-05-02,0.0
2004-05-03,0.0
2004-05-04,0.7
2004-05-05,2.6
2004-05-06,0.0
2004-05-07,0.0
2004-05-08,0.0
2004-05-09,0.0
2004-05-10,0.0
2004-05-11,0.0
2004-05-12,0.0
2004-05-13,0.0
2004-05-14,0.0
2004-05-15,0.0
2004-05-16,0.0
2004-05-17,0.0
2004-05-18,0.0
2004-05-19,0.0
2004-05-20,0.0
2004-05-21,0.0
2004-05-22,0.0
2004-05-23,0.0
2004-05-24,0.0
2004-05-25,0.0
2004-05-26,0.0
2004-05-27,0.0
2004-05-28,0.0
2004-05-29,0.0
2004-05-30,0.0
2004-05-31,0.0
2004-06-01,0.0
2004-06-02,0.0
2004-06-03,0.0
2004-06-04,0.0
2004-06-05,0.0
2004-06-06,0.0
2004-06-07,0.0
2004-06-08,0.0
2004-06-09,0.0
2004-06-10,0.0
2004-06-11,0.0
2004-06-12,0.0
2004-06-13,0.0
2004-06-14,0.0
2004-06-15,0.0
2004-06-16,0.0
2004-06-17,0.6
2004-06-18,2.2
2004-06-19,0.0
2004-06-20,0.0
2004-06-21,0.0
2004-06-22,0.0
2004-06-23,0.0
2004-06-24,0.0
2004-06-25,0.0
2004-06-26,0.0
2004-06-27,0.0
2004-06-28,0.0
2004-06-29,0.0
2004-06-30,0.0
2004-07-01,0.0
2004-07-02,0.0
2004-07-03,0.0
2004-07-04,0.0
2004-07-05,0.0
2004-07-06,0.0
2004-07-07,0.0
2004-07-08,0.0
2004-07-09,0.0
2004-07-10,0.0
2004-07-11,0.0
2004-07-12,0.0
2004-07-13,0.0
2004-07-14,0.0
2004-07-15,0.0
2004-07-16,0.0
2004-07-17,0.0
2004-07-18,0.0
2004-07-19,0.0
2004-07-20,0.0
2004-07-21,0.0
2004-07-22,0.0
2004-07-23,0.0
2004-07-24,0.0
2004-07-25,0.0
2004-07-26,0.0
2004-07-27,1.0
2004-07-28,0.0
2004-07-29,0.0
2004-07-30,0.0
2004-07-31,0.0
2004-08-01,0.0
2004-08-02,0.0
2004-08-03,0.0
2004-08-04,0.0
2004-08-05,0.0
2004-08-06,0.0
2004-08-07,0.0
2004-08-08,0.0
2004-08-09,0.0
2004-08-10,0.0
2004-08-11,0.0
2004-08-12,0.0
2004-08-13,0.0
2004-08-14,0.0
2004-08-15,0.0
2004-08-16,0.0
2004-08-17,0.0
2004-08-18,0.0
2004-08-19,0.0
2004-08-20,0.0
2004-08-21,0.0
2004-08-22,0.0
2004-08-23,0.0
2004-08-24,0.0
2004-08-25,0.0
2004-08-26,0.0
2004-08-27,0.0
2004-08-28,0.0
2004-08-29,0.0
2004-08-30,0.0
2004-08-31,0.0
2004-09-01,0.0
2004-09-02,0.0
2004-09-03,0.0
2004-09-04,0.0
2004-09-05,0.0
2004-09-06,0.0
2004-09-07,0.0
2004-09-08,0.0
2004-09-09,0.0
2004-09-10,0.0
2004-09-11,0.2
2004-09-12,0.0
2004-09-13,0.0
2004-09-14,0.0
2004-09-15,0.0
2004-09-16,0.0
2004-09-17,0.0
2004-09-18,0.0
2004-09-19,0.0
2004-09-20,0.4
2004-09-21,7.4
2004-09-22,0.0
2004-09-23,0.0
2004-09-24,0.0
2004-09-25,2.0
2004-09-26,37.8
2004-09-27,0.0
2004-09-28,3.8
2004-09-29,0.0
2004-09-30,0.0
2004-10-01,0.0
2004-10-02,0.0
2004-10-03,0.0
2004-10-04,0.0
2004-10-05,0.0
2004-10-06,0.0
2004-10-07,0.0
2004-10-08,0.0
2004-10-09,0.0
2004-10-10,0.0
2004-10-11,0.0
2004-10-12,3.9
2004-10-13,25.2
2004-10-14,5.2
2004-10-15,9.8
2004-10-16,0.0
2004-10-17,0.0
2004-10-18,0.0
2004-10-19,0.0
2004-10-20,0.0
2004-10-21,0.0
2004-10-22,0.0
2004-10-23,0.0
2004-10-24,0.0
2004-10-25,0.0
2004-10-26,0.6
2004-10-27,2.1
2004-10-28,20.4
2004-10-29,0.0
2004-10-30,0.0
2004-10-31,0.0
2004-11-01,0.0
2004-11-02,0.0
2004-11-03,0.0
2004-11-04,0.0
2004-11-05,0.0
2004-11-06,0.0
2004-11-07,0.4
2004-11-08,10.4
2004-11-09,0.5
2004-11-10,2.1
2004-11-11,6.2
2004-11-12,28.7
2004-11-13,0.0
2004-11-14,28.2
2004-11-15,1.4
2004-11-16,18.6
2004-11-17,11.2
2004-11-18,0.0
2004-11-19,0.0
2004-11-20,1.1
2004-11-21,0.0
2004-11-22,0.0
2004-11-23,4.0
2004-11-24,10.4
2004-11-25,0.0
2004-11-26,0.0
2004-11-27,0.0
2004-11-28,11.6
2004-11-29,6.4
2004-11-30,6.4
2004-12-01,0.0
2004-12-02,0.0
2004-12-03,0.0
2004-12-04,0.0
2004-12-05,9.0
2004-12-06,11.8
2004-12-07,0.0
2004-12-08,0.0
2004-12-09,0.0
2004-12-10,3.9
2004-12-11,0.0
2004-12-12,
2004-12-13,0.0
2004-12-14,0.0
2004-12-15,0.0
2004-12-16,0.0
2004-12-17,28.6
2004-12-18,23.9
2004-12-19,4.9
2004-12-20,0.5
2004-12-21,38.8
2004-12-22,0.7
2004-12-23,0.1
2004-12-24,1.8
2004-12-25,0.0
2004-12-26,0.0
2004-12-27,0.0
2004-12-28,9.4
2004-12-29,11.4
2004-12-30,36.8
2004-12-31,45.3
2005-01-01,3.1
2005-01-02,2.3
2005-01-03,0.3
2005-01-04,0.5
2005-01-05,0.0
2005-01-06,0.0
2005-01-07,0.0
2005-01-08,0.0
2005-01-09,0.0
2005-01-10,0.0
2005-01-11,0.0
2005-01-12,0.0
2005-01-13,0.0
2005-01-14,0.0
2005-01-15,0.2
2005-01-16,3.0
2005-01-17,0.0
2005-01-18,0.0
2005-01-19,14.3
2005-01-20,30.6
2005-01-21,0.0
2005-01-22,1.2
2005-01-23,0.0
2005-01-24,0.7
2005-01-25,0.4
2005-01-26,6.6
2005-01-27,10.0
2005-01-28,1.1
2005-01-29,13.3
2005-01-30,4.1
2005-01-31,15.9
2005-02-01,2.3
2005-02-02,19.7
2005-02-03,5.2
2005-02-04,0.1
2005-02-05,0.0
2005-02-06,0.0
2005-02-07,0.0
2005-02-08,0.0
2005-02-09,0.0
2005-02-10,0.0
2005-02-11,0.0
2005-02-12,0.0
2005-02-13,2.1
2005-02-14,0.1
2005-02-15,20.3
2005-02-16,9.8
2005-02-17,9.6
2005-02-18,17.5
2005-02-19,16.0
2005-02-20,23.6
2005-02-21,1.2
2005-02-22,0.8
2005-02-23,0.1
2005-02-24,0.2
2005-02-25,0.2
2005-02-26,2.4
2005-02-27,2.5
2005-02-28,3.3
2005-03-01,6.7
2005-03-02,12.4
2005-03-03,0.0
2005-03-04,0.0
2005-03-05,21.7
2005-03-06,0.2
2005-03-07,3.9
2005-03-08,13.2
2005-03-09,3.0
2005-03-10,5.8
2005-03-11,2.3
2005-03-12,0.3
2005-03-13,5.5
2005-03-14,0.0
2005-03-15,0.0
2005-03-16,0.0
2005-03-17,0.0
2005-03-18,0.0
2005-03-19,0.0
2005-03-20,0.0
2005-03-21,0.0
2005-03-22,0.0
2005-03-23,0.0
2005-03-24,0.0
2005-03-25,0.0
2005-03-26,0.0
2005-03-27,0.0
2005-03-28,0.0
2005-03-29,0.0
2005-03-30,0.0
2005-03-31,5.7
2005-04-01,0.0
2005-04-02,0.0
2005-04-03,0.0
2005-04-04,0.0
2005-04-05,0.0
2005-04-06,1.6
2005-04-07,0.0
2005-04-08,0.0
2005-04-09,0.0
2005-04-10,0.0
2005-04-11,0.0
2005-04-12,0.0
2005-04-13,20.5
2005-04-14,1.3
2005-04-15,0.0
2005-04-16,0.0
2005-04-17,0.0
2005-04-18,5.5
2005-04-19,0.0
2005-04-20,0.0
2005-04-21,0.8
2005-04-22,0.0
2005-04-23,0.0
2005-04-24,0.0
2005-04-25,0.0
2005-04-26,0.0
2005-04-27,0.0
2005-04-28,0.0
2005-04-29,0.0
2005-04-30,0.0
2005-05-01,
2005-05-02,
2005-05-03,
2005-05-04,
2005-05-05,
2005-05-06,
2005-05-07,
2005-05-08,
2005-05-09,
2005-05-10,
2005-05-11,
2005-05-12,
2005-05-13,
2005-05-14,
2005-05-15,
2005-05-16,
2005-05-17,
2005-05-18,
2005-05-19,
2005-05-20,
2005-05-21,
2005-05-22,
2005-05-23,
2005-05-24,
2005-05-25,
2005-05-26,
2005-05-27,
2005-05-28,
2005-05-29,
2005-05-30,
2005-05-31,
2005-06-01,0.0
2005-06-02,
2005-06-03,0.3
2005-06-04,
2005-06-05,
2005-06-06,
2005-06-07,
2005-06-08,0.0
2005-06-09,
2005-06-10,0.0
2005-06-11,0.0
2005-06-12,
2005-06-13,
2005-06-14,
2005-06-15,
2005-06-16,
2005-06-17,
2005-06-18,
2005-06-19,
2005-06-20,
2005-06-21,
2005-06-22,
2005-06-23,
2005-06-24,
2005-06-25,
2005-06-26,
2005-06-27,
2005-06-28,
2005-06-29,
2005-06-30,
2005-07-01,
2005-07-02,
2005-07-03,0.2
2005-07-04,
2005-07-05,
2005-07-06,
2005-07-07,
2005-07-08,
2005-07-09,
2005-07-10,
2005-07-11,
2005-07-12,
2005-07-13,
2005-07-14,0.0
2005-07-15,
2005-07-16,
2005-07-17,
2005-07-18,
2005-07-19,
2005-07-20,
2005-07-21,
2005-07-22,
2005-07-23,
2005-07-24,
2005-07-25,
2005-07-26,
2005-07-27,
2005-07-28,
2005-07-29,
2005-07-30,
2005-07-31,
2005-08-01,
2005-08-02,
2005-08-03,
2005-08-04,
2005-08-05,
2005-08-06,
2005-08-07,0.0
2005-08-08,
2005-08-09,
2005-08-10,
2005-08-11,
2005-08-12,
2005-08-13,
2005-08-14,
2005-08-15,
2005-08-16,
2005-08-17,0.0
2005-08-18,
2005-08-19,
2005-08-20,
2005-08-21,
2005-08-22,
2005-08-23,0.0
2005-08-24,
2005-08-25,
2005-08-26,
2005-08-27,
2005-08-28,
2005-08-29,
2005-08-30,
2005-08-31,
2005-09-01,0.0
2005-09-02,
2005-09-03,
2005-09-04,
2005-09-05,
2005-09-06,
2005-09-07,
2005-09-08,
2005-09-09,
2005-09-10,
2005-09-11,
2005-09-12,
2005-09-13,
2005-09-14,
2005-09-15,6.2
2005-09-16,
2005-09-17,
2005-09-18,
2005-09-19,
2005-09-20,
2005-09-21,7.6
2005-09-22,0.0
2005-09-23,0.9
2005-09-24,
2005-09-25,
2005-09-26,
2005-09-27,
2005-09-28,0.0
2005-09-29,
2005-09-30,3.0
2005-10-01,17.2
2005-10-02,3.5
2005-10-03,
2005-10-04,
2005-10-05,
2005-10-06,
2005-10-07,
2005-10-08,
2005-10-09,3.0
2005-10-10,
2005-10-11,0.0
2005-10-12,0.0
2005-10-13,
2005-10-14,
2005-10-15,
2005-10-16,
2005-10-17,
2005-10-18,
2005-10-19,
2005-10-20,
2005-10-21,
2005-10-22,
2005-10-23,
2005-10-24,
2005-10-25,
2005-10-26,
2005-10-27,
2005-10-28,
2005-10-29,0.0
2005-10-30,
2005-10-31,2.9
2005-11-01,
2005-11-02,
2005-11-03,
2005-11-04,
2005-11-05,
2005-11-06,
2005-11-07,
2005-11-08,
2005-11-09,
2005-11-10,
2005-11-11,
2005-11-12,
2005-11-13,
2005-11-14,37.7
2005-11-15,
2005-11-16,0.3
2005-11-17,2.2
2005-11-18,0.0
2005-11-19,17.8
2005-11-20,
2005-11-21,
2005-11-22,6.2
2005-11-23,
2005-11-24,
2005-11-25,
2005-11-26,
2005-11-27,
2005-11-28,
2005-11-29,
2005-11-30,
2005-12-01,
2005-12-02,
2005-12-03,
2005-12-04,
2005-12-05,
2005-12-06,
2005-12-07,0.0
2005-12-08,
2005-12-09,
2005-12-10,103.8
2005-12-11,14.7
2005-12-12,0.0
2005-12-13,0.0
2005-12-14,14.2
2005-12-15,
2005-12-16,0.5
2005-12-17,0.0
2005-12-18,1.0
2005-12-19,
2005-12-20,
2005-12-21,
2005-12-22,
2005-12-23,0.2
2005-12-24,
2005-12-25,
2005-12-26,17.0
2005-12-27,
2005-12-28,
2005-12-29,
2005-12-30,
2005-12-31,
2006-01-01,7.5
2006-01-02,18.1
2006-01-03,0.9
